Brand,model,Year,Age,kmDriven,Transmission,Owner,FuelType,AskPrice
36,187,2011,13,100231.0,1,1,0,429101
23,178,2023,1,13000.0,1,1,2,610000
13,168,2017,7,47000.0,1,0,2,519999
13,162,2007,17,115031.0,1,1,2,140000
23,317,2014,10,67000.0,1,0,2,280000
13,384,2016,8,74500.0,1,0,0,425000
12,84,2016,8,93000.0,0,1,2,575000
23,277,2015,9,59000.0,1,0,2,295000
36,188,2017,7,79000.0,0,1,0,1725000
13,352,2022,2,69000.0,0,0,0,1250000
13,100,2015,9,76000.0,0,1,0,650000
18,306,2020,4,34500.0,0,0,2,935000
11,115,2016,8,130000.0,1,1,0,400000
25,153,2022,2,20000.0,0,0,0,7500000
22,301,2023,1,15905.0,0,0,0,2350000
36,188,2021,3,21000.0,1,0,0,2125000
26,90,2019,5,13000.0,0,0,2,3950000
23,123,2015,9,75000.0,1,0,0,435000
37,253,2012,12,80000.0,1,1,0,300000
23,361,2016,8,50000.0,1,0,2,245000
35,238,2022,2,40000.0,0,1,2,680000
23,277,2013,11,87000.0,1,0,0,385000
36,127,2015,9,155000.0,1,1,0,589000
37,102,2014,10,80000.0,1,1,0,425000
23,361,2014,10,84000.0,1,1,2,265000
37,253,2021,3,18000.0,0,0,2,850000
23,52,2017,7,47000.0,0,0,2,575000
37,346,2011,13,134000.0,1,0,0,425000
23,41,2011,13,82000.0,1,0,2,180000
23,80,2015,9,35000.0,0,0,2,425000
31,109,2015,9,150000.0,0,1,0,450000
36,140,2012,12,132000.0,1,0,0,1095000
19,268,2017,7,130000.0,0,1,2,2500000
23,123,2020,4,59000.0,0,0,2,980000
35,238,2018,6,95000.0,0,1,2,575000
35,185,2016,8,115000.0,1,1,0,110000
22,329,2022,2,11000.0,1,0,0,1675000
36,71,2015,9,68000.0,0,1,2,1185000
33,201,2021,3,74000.0,0,0,2,1199000
23,277,2012,12,88000.0,1,0,2,385000
13,168,2014,10,47000.0,0,1,2,455000
22,56,2015,9,16.0,1,0,0,390000
12,63,2012,12,68000.0,1,0,2,235000
12,86,2007,17,115000.0,1,1,2,265000
13,393,2011,13,50000.0,1,1,2,150000
12,358,2017,7,98000.0,1,0,0,600000
19,108,2019,5,62000.0,0,0,0,3099000
35,173,2019,5,67000.0,1,1,0,899000
35,392,2015,9,69000.0,1,1,2,340000
23,116,2021,3,49000.0,1,0,2,540000
23,319,2013,11,162000.0,1,1,0,390000
36,140,2018,6,86000.0,1,0,0,2499000
13,100,2023,1,35000.0,0,0,0,2025000
23,361,2014,10,38000.0,1,0,2,370000
13,100,2020,4,105000.0,1,0,0,1050000
36,4,2022,2,25500.0,0,0,0,4199999
23,318,2015,9,67000.0,1,0,2,450000
37,347,2016,8,78000.0,0,0,2,555000
36,187,2006,18,191000.0,1,0,0,295000
13,100,2018,6,66000.0,0,1,2,1075000
36,188,2016,8,75000.0,1,0,0,1480000
23,356,2018,6,85600.0,1,0,0,750000
23,123,2012,12,155000.0,1,1,0,650000
13,393,2010,14,46000.0,1,1,2,78000
23,83,2015,9,68000.0,1,0,2,330000
11,115,2018,6,73000.0,0,0,2,590000
12,84,2011,13,74000.0,0,1,2,375000
23,317,2018,6,65000.0,0,1,2,590000
3,24,2021,3,50000.0,0,0,2,3250000
12,84,2014,10,61000.0,0,0,2,685000
23,317,2005,19,98000.0,1,1,2,160000
22,382,2017,7,76000.0,0,1,0,760000
22,382,2016,8,89100.0,1,1,0,760000
37,253,2018,6,73961.0,0,1,2,935000
11,120,2019,5,60000.0,0,0,0,2740000
22,329,2018,6,46850.0,1,1,0,880000
22,329,2023,1,28000.0,0,0,0,1785000
22,382,2013,11,99000.0,1,1,0,470000
23,321,2009,15,56328.0,1,0,2,265000
3,22,2015,9,42000.0,0,1,0,1050000
13,100,2018,6,127000.0,1,0,0,995000
25,65,2013,11,78000.0,0,1,2,790000
36,188,2022,2,31000.0,0,0,0,2700000
33,200,2020,4,57000.0,0,0,0,3045000
11,120,2017,7,70000.0,0,1,0,2650000
12,84,2016,8,93000.0,0,1,2,575000
13,122,2014,10,41453.0,1,1,2,220000
35,42,2021,3,33000.0,1,0,2,545000
23,80,2018,6,37000.0,0,1,2,460000
37,253,2015,9,65000.0,1,0,2,375000
13,169,2022,2,36000.0,0,0,2,690000
36,71,2016,8,130000.0,0,1,2,1399999
23,40,2013,11,100000.0,1,1,2,160000
4,365,2016,8,93000.0,0,0,0,2100000
13,100,2019,5,48000.0,1,0,0,1065000
4,368,2016,8,63000.0,0,1,0,2290000
13,394,2015,9,85000.0,1,1,0,560000
33,271,2017,7,70000.0,0,0,0,750000
13,352,2013,11,59000.0,1,1,2,425000
22,322,2015,9,72000.0,0,1,0,390000
25,112,2012,12,74000.0,0,1,0,1295000
12,84,2018,6,78127.0,1,0,0,785000
23,83,2020,4,26000.0,1,0,2,775000
31,197,2017,7,65663.0,0,1,2,325000
4,11,2018,6,24000.0,0,0,2,4199000
36,140,2015,9,160000.0,0,1,0,1250000
37,253,2020,4,79000.0,1,1,2,725000
23,52,2018,6,31000.0,1,0,2,549000
13,100,2019,5,55000.0,0,0,0,1299999
23,318,2015,9,89000.0,1,1,0,431000
13,36,2022,2,37000.0,0,0,0,1820000
23,39,2016,8,56000.0,1,0,2,275000
25,211,2015,9,75000.0,0,0,0,2450000
12,63,2014,10,32001.0,1,1,2,295000
23,319,2024,0,22000.0,1,0,2,260000
13,394,2010,14,45000.0,1,1,2,150000
36,140,2021,3,60000.0,0,0,2,3200000
18,302,2021,3,41000.0,0,0,2,1390000
37,253,2015,9,51000.0,1,1,2,499999
36,163,2021,3,28000.0,0,1,2,750000
4,11,2019,5,38000.0,0,0,0,4450000
33,271,2019,5,64800.0,0,0,0,799000
17,88,2022,2,17300.0,0,0,2,1995000
37,347,2013,11,38000.0,1,0,2,292000
12,84,2011,13,95000.0,0,1,2,280000
12,63,2012,12,72000.0,1,0,2,165000
23,123,2016,8,135000.0,1,1,0,875000
36,127,2012,12,135000.0,1,1,0,395000
37,347,2019,5,160000.0,1,0,0,695000
35,173,2022,2,14000.0,0,0,0,1875000
18,302,2020,4,50200.0,0,0,2,1300000
23,40,2014,10,47000.0,1,0,2,255000
3,22,2015,9,42000.0,0,1,0,1050000
12,84,2011,13,59600.0,1,1,2,210000
23,277,2010,14,8000.0,0,1,2,185000
23,361,2023,1,30000.0,1,0,2,675000
31,197,2017,7,54000.0,0,1,2,365000
23,241,1998,26,80000.0,1,1,2,75000
7,103,2011,13,100000.0,0,1,0,295000
22,382,2017,7,48000.0,0,0,0,1199999
13,352,2013,11,150000.0,0,1,0,410000
13,100,2016,8,63000.0,1,1,2,650000
36,140,2014,10,333000.0,0,1,0,1445000
12,84,2018,6,62000.0,1,0,2,695000
12,44,2021,3,56001.0,0,0,0,1125000
36,188,2017,7,25000.0,1,0,0,1565000
12,191,2015,9,68001.0,1,1,2,444000
31,297,2013,11,72000.0,1,0,0,345000
4,8,2019,5,50000.0,0,1,0,2675000
12,84,2016,8,95000.0,1,1,2,535000
23,282,2021,3,39000.0,0,0,2,465000
22,382,2013,11,60000.0,1,1,0,695000
13,337,2017,7,72315.0,0,1,0,1035000
13,352,2014,10,82000.0,0,1,2,390000
36,71,2015,9,68000.0,0,1,2,1185000
23,37,2019,5,85000.0,0,1,2,280000
13,294,2016,8,64000.0,0,0,0,1245000
13,384,2016,8,68500.0,1,1,2,440000
23,110,2022,2,44000.0,0,0,2,780000
23,317,2019,5,59000.0,1,0,2,540000
21,32,2022,2,32000.0,0,0,2,1275000
3,263,2014,10,45000.0,0,1,0,1200000
37,347,2016,8,130000.0,0,1,2,525000
25,155,2021,3,32000.0,0,1,2,11800000
23,40,2019,5,,1,0,2,300000
36,188,2017,7,112000.0,0,0,0,1551111
26,91,2014,10,32000.0,0,1,0,1900000
31,197,2017,7,78537.0,0,0,2,375000
37,347,2018,6,70673.0,0,0,0,775000
23,52,2018,6,39848.0,1,0,2,479931
3,261,2016,8,77000.0,0,0,0,1500000
23,37,2008,16,111400.0,1,1,2,150000
36,140,2017,7,30000.0,0,1,0,3495000
33,271,2015,9,82000.0,0,1,0,325000
23,319,2013,11,89000.0,1,1,0,361000
36,140,2015,9,195000.0,0,0,0,1550000
35,176,2017,7,65110.0,1,0,0,695000
13,101,2022,2,25000.0,1,0,2,1375000
4,15,2014,10,115000.0,0,0,0,1500000
12,191,2015,9,64000.0,1,0,2,574999
37,253,2013,11,61000.0,0,0,2,415000
13,168,2014,10,54000.0,0,1,2,479000
23,83,2020,4,610003.0,1,0,2,840000
36,188,2022,2,25000.0,0,0,0,2600000
23,80,2015,9,103000.0,0,1,2,360000
22,329,2022,2,14000.0,0,0,2,1550000
35,60,2015,9,56000.0,1,0,2,235000
4,11,2016,8,47000.0,0,1,0,2500000
16,377,2013,11,97763.0,0,1,0,1550000
35,330,2021,3,74000.0,1,1,2,515000
12,63,2015,9,50000.0,1,1,2,385000
36,188,2021,3,42000.0,1,1,0,2550000
33,271,2014,10,71000.0,0,1,2,395000
22,329,2020,4,40000.0,1,0,0,1195000
4,8,2015,9,61000.0,0,1,0,1500000
13,394,2010,14,83000.0,1,1,2,235000
36,140,2012,12,166000.0,1,1,0,1650000
35,186,2004,20,70899.0,1,1,2,98000
23,123,2019,5,91000.0,1,0,0,1149000
35,290,2022,2,27000.0,1,0,0,1865000
13,100,2018,6,77620.0,0,0,0,1350000
11,115,2017,7,85000.0,1,1,0,649999
35,231,2016,8,58.0,0,1,2,186000
23,319,2016,8,25.0,1,1,0,420000
23,40,2006,18,20024.0,1,0,2,20000
13,168,2014,10,80000.0,1,1,2,375556
37,253,2019,5,35000.0,0,1,2,1185000
12,85,2016,8,77000.0,0,0,2,575000
23,317,2018,6,63259.0,0,1,0,520000
11,115,2017,7,110000.0,1,0,0,449999
13,394,2023,1,14000.0,0,0,2,925000
37,333,2018,6,52000.0,0,0,0,1915000
25,145,2011,13,45000.0,0,1,0,7500000
4,7,2016,8,65000.0,0,1,0,1325000
31,109,2016,8,75000.0,0,1,0,595000
23,317,2007,17,135000.0,1,1,0,165000
36,187,2014,10,105000.0,1,1,0,780000
19,267,2016,8,151000.0,0,1,0,2800000
4,15,2013,11,61000.0,0,1,0,851000
23,167,2023,1,21209.0,1,0,2,1290000
36,163,2020,4,87000.0,1,0,2,733000
31,109,2016,8,130000.0,1,1,0,599000
38,372,2015,9,125000.0,0,1,0,1075000
35,330,2018,6,30000.0,0,0,2,355000
3,26,2015,9,78561.0,0,0,0,898970
12,84,2016,8,63000.0,1,1,2,600000
12,44,2016,8,65000.0,1,0,2,410000
37,254,2015,9,102000.0,0,1,2,450000
23,317,2022,2,35000.0,0,0,2,745000
37,353,2022,2,50000.0,0,0,2,1299000
23,20,2013,11,60000.0,0,1,2,299000
4,11,2014,10,72000.0,0,1,0,1599000
26,95,2013,11,53000.0,0,1,2,1600000
36,129,2018,6,74000.0,1,1,0,850000
21,174,2023,1,29000.0,0,0,2,2295000
25,67,2016,8,20800.0,0,1,2,1700000
13,394,2017,7,95000.0,1,1,2,565000
22,329,2021,3,13000.0,0,0,0,1700000
22,383,2023,1,4000.0,1,0,2,2100000
23,52,2021,3,57000.0,0,1,2,685000
22,43,2022,2,25000.0,0,0,0,2725000
22,298,2017,7,92000.0,1,0,0,1050000
21,32,2021,3,12110.0,0,0,2,1295000
13,236,2022,2,13162.0,0,0,2,975000
36,129,2017,7,49000.0,1,0,2,599000
23,38,2016,8,68000.0,1,1,2,265000
3,26,2013,11,110000.0,0,1,0,1150000
13,119,2017,7,52355.0,1,0,2,499555
13,393,2013,11,40595.0,0,1,2,310000
22,329,2021,3,41000.0,1,1,0,1450000
23,241,2014,10,77500.0,0,1,2,1010000
23,319,2018,6,55000.0,1,0,2,595000
13,393,2013,11,80000.0,0,1,2,145000
19,106,2024,0,7000.0,0,0,2,12700000
4,11,2016,8,47000.0,0,1,0,2500000
25,150,2016,8,71000.0,0,1,2,1990000
13,296,2007,17,65000.0,1,1,2,185000
36,188,2019,5,69000.0,0,0,0,2699000
23,123,2019,5,90000.0,1,0,0,900000
9,209,2009,15,79742.0,1,1,2,165000
3,261,2017,7,45000.0,0,1,0,1690000
36,188,2022,2,8000.0,0,0,0,3375000
36,127,2012,12,51000.0,0,1,2,260000
4,8,2019,5,71000.0,0,0,0,2550000
2,345,2016,8,25700.0,0,0,2,26400000
25,65,2015,9,58000.0,0,0,0,2149999
36,140,2024,0,2596.0,1,0,0,3899999
22,329,2023,1,24500.0,0,0,2,1410000
12,84,2021,3,125000.0,1,0,0,1075000
23,83,2017,7,79000.0,0,1,2,600000
36,188,2019,5,118000.0,0,1,0,1999000
4,11,2017,7,75000.0,0,0,0,4000000
22,56,2017,7,105000.0,1,1,0,620000
23,397,2021,3,35000.0,1,0,2,851000
3,27,2017,7,51000.0,0,0,0,3500000
18,302,2022,2,30891.0,0,0,0,1875000
13,36,2023,1,2500.0,0,0,2,1800000
23,317,2019,5,32000.0,1,1,2,575000
22,329,2021,3,66000.0,1,0,0,1425000
38,343,2016,8,75000.0,0,0,2,1375000
21,174,2019,5,71000.0,1,0,0,1275000
4,8,2015,9,61000.0,0,1,0,1500000
3,26,2011,13,51000.0,0,1,2,1350000
23,41,2015,9,75000.0,0,1,2,310000
13,119,2018,6,39500.0,1,0,2,545000
31,73,2018,6,120000.0,1,0,0,800000
36,187,2016,8,,1,1,0,860000
37,253,2015,9,65000.0,1,0,2,375000
37,250,2012,12,68900.0,0,1,0,555000
25,112,2017,7,68000.0,0,0,0,3090000
11,115,2015,9,80000.0,0,1,2,465000
23,41,2019,5,62000.0,1,0,2,360000
13,349,2022,2,55000.0,1,0,0,1250000
37,253,2015,9,60000.0,1,1,2,460000
36,188,2017,7,34000.0,1,0,0,1395000
17,88,2017,7,49000.0,0,0,2,1151111
13,394,2016,8,36000.0,1,1,2,450000
22,195,2016,8,85000.0,1,1,0,320000
22,57,2023,1,35000.0,0,1,0,1050000
12,44,2015,9,160000.0,1,1,0,275000
23,317,2010,14,141000.0,1,1,0,330000
19,267,2012,12,23100.0,0,1,0,4795000
13,352,2014,10,100000.0,1,0,2,950000
13,117,2016,8,88000.0,1,1,0,860000
30,216,2023,1,5100.0,0,0,2,8900000
23,83,2017,7,76000.0,1,1,2,480000
4,366,2019,5,50000.0,0,1,0,4000000
25,211,2014,10,48000.0,0,0,0,1745000
22,383,2024,0,16666.0,0,0,0,2599999
33,201,2022,2,38917.0,1,0,2,1225000
23,52,2016,8,55000.0,0,0,2,655000
3,22,2015,9,42000.0,0,1,0,1050000
28,328,2015,9,84000.0,1,1,0,500000
13,117,2014,10,120000.0,0,1,0,550000
23,123,2022,2,8638.0,1,0,2,1150000
23,318,2013,11,62000.0,1,1,2,350000
23,318,2013,11,62000.0,1,1,2,350000
12,44,2014,10,86131.0,1,1,0,300000
23,317,2021,3,29000.0,0,0,2,765000
21,32,2024,0,260.0,1,0,2,1495000
13,352,2023,1,15120.0,0,0,2,1550000
35,42,2021,3,21000.0,1,1,2,535000
21,175,2022,2,11000.0,0,0,2,1850000
23,83,2017,7,63000.0,1,0,2,750000
33,271,2021,3,41189.0,0,0,2,1225000
22,301,2022,2,20000.0,1,0,0,1945000
25,65,2011,13,64000.0,0,1,0,975000
18,302,2020,4,62500.0,1,0,0,945000
36,187,2012,12,121000.0,1,0,0,400000
23,317,2018,6,38000.0,1,1,2,480000
22,329,2021,3,30000.0,0,0,0,1540000
23,320,2010,14,130000.0,1,1,0,260000
23,361,2021,3,71000.0,1,0,2,475000
13,100,2023,1,4800.0,0,1,0,1950000
23,52,2017,7,59000.0,1,0,2,515000
12,84,2011,13,75875.0,0,1,2,295000
18,302,2020,4,109000.0,1,0,0,975000
25,112,2006,18,92000.0,0,1,0,500000
16,377,2014,10,41000.0,0,1,0,2525000
23,379,2022,2,76000.0,1,0,2,1000000
26,90,2020,4,12000.0,0,0,2,4450000
13,352,2016,8,81982.0,0,0,0,695000
22,387,2010,14,51258.0,1,0,0,199000
22,298,2017,7,59000.0,1,0,0,850000
25,279,2018,6,39000.0,0,1,0,5950000
23,123,2021,3,38000.0,0,0,2,1155000
23,317,2024,0,6000.0,0,0,2,1150000
4,7,2016,8,53000.0,0,1,0,1399000
4,8,2014,10,99000.0,0,1,0,1750000
25,112,2012,12,73595.0,0,1,2,699000
13,168,2018,6,51000.0,1,0,2,475000
13,352,2018,6,57546.0,0,0,2,849999
25,65,2016,8,96000.0,0,1,0,2300000
4,14,2018,6,21000.0,0,1,2,4500000
23,317,2018,6,48000.0,0,1,2,535000
37,347,2011,13,22000.0,1,0,2,299999
36,140,2021,3,40000.0,0,0,0,4100000
23,379,2021,3,22864.0,0,0,2,1095000
23,356,2017,7,64000.0,1,0,0,585000
13,168,2013,11,88000.0,1,0,0,410000
11,135,2011,13,30000.0,1,1,2,149000
13,169,2020,4,33145.0,1,0,2,600000
33,271,2011,13,60000.0,1,0,2,220000
25,67,2016,8,20800.0,0,1,2,1700000
17,88,2017,7,61000.0,1,1,0,1150000
23,123,2014,10,120000.0,0,1,0,425000
22,382,2016,8,87000.0,1,0,0,1050000
13,349,2022,2,38000.0,1,0,2,1040000
17,88,2017,7,55000.0,0,1,2,1011000
13,100,2019,5,35000.0,1,0,0,1145000
12,84,2011,13,82000.0,0,1,2,299000
36,188,2019,5,65000.0,0,0,0,1400000
31,109,2015,9,90000.0,1,0,0,575000
25,112,2020,4,49000.0,0,0,2,4800000
25,279,2019,5,29000.0,0,1,0,9500000
12,84,2023,1,9500.0,0,0,2,1475000
31,109,2013,11,86250.0,1,0,0,290000
12,86,2024,0,,0,0,2,1550000
36,188,2016,8,190000.0,1,0,0,1650000
37,46,2017,7,80000.0,1,0,0,475000
13,100,2021,3,96000.0,0,0,0,1700000
4,15,2016,8,40000.0,0,0,0,2150000
23,379,2019,5,65000.0,1,0,2,925000
23,317,2010,14,29000.0,1,0,2,150000
13,393,2013,11,40000.0,0,1,2,200000
22,298,2010,14,65000.0,1,1,0,290000
23,80,2018,6,38000.0,0,1,2,380000
23,361,2015,9,66000.0,0,1,2,260000
23,83,2019,5,29000.0,1,0,2,850000
36,140,2016,8,90000.0,1,1,0,1545000
36,189,2023,1,14100.0,0,0,2,2844000
13,100,2015,9,88000.0,1,1,0,750000
23,318,2016,8,49000.0,0,1,2,599000
23,80,2016,8,36000.0,0,0,2,399999
12,191,2011,13,61000.0,1,1,2,225000
13,168,2018,6,62000.0,1,1,2,375000
13,100,2022,2,19000.0,0,0,0,2290000
16,377,2013,11,97763.0,0,1,0,1550000
25,67,2019,5,28370.0,0,0,0,1999999
11,120,2016,8,86000.0,0,0,0,1825000
13,393,2011,13,68000.0,1,1,2,230000
4,8,2015,9,61000.0,0,1,0,1500000
11,115,2019,5,54000.0,1,0,0,810000
13,394,2010,14,72000.0,0,1,2,275000
31,336,2020,4,59000.0,1,0,2,675000
13,296,2009,15,69000.0,1,1,2,160000
33,271,2015,9,59000.0,0,1,2,550000
13,294,2016,8,64200.0,0,0,0,1175000
3,24,2015,9,53000.0,0,1,0,1750000
13,296,2010,14,,0,1,2,120000
3,26,2016,8,40000.0,0,0,0,1595000
23,116,2011,13,53750.0,1,0,2,155000
18,302,2022,2,15000.0,0,0,2,1800000
23,361,2011,13,75000.0,1,1,2,245000
23,241,2010,14,88000.0,1,1,2,95000
3,262,2018,6,110000.0,0,0,0,2299000
4,11,2013,11,76064.0,0,1,0,1425000
4,11,2018,6,41000.0,0,1,0,2990000
22,383,2022,2,6789.0,0,0,0,2000000
36,4,2021,3,63000.0,0,0,0,4250000
13,100,2018,6,84000.0,1,1,0,1075000
13,168,2017,7,50523.0,1,1,2,370000
25,112,2014,10,74000.0,0,0,0,1384999
37,333,2018,6,52000.0,0,0,0,1915000
25,112,2022,2,25000.0,0,0,0,6500000
36,163,2020,4,38000.0,0,0,2,574000
23,37,2011,13,55000.0,1,1,2,115000
36,188,2024,0,6110.0,1,0,0,2785000
36,187,2014,10,130000.0,1,0,0,1360000
36,71,2014,10,108000.0,0,0,2,1400000
12,84,2018,6,58000.0,1,0,2,574000
3,22,2015,9,42000.0,0,1,0,1050000
22,329,2020,4,40000.0,1,0,0,1195000
23,317,2021,3,41000.0,1,0,2,679000
35,238,2020,4,49000.0,1,0,0,450000
10,226,2023,1,9900.0,1,0,0,1550000
31,197,2017,7,67000.0,1,1,2,250000
23,317,2023,1,11000.0,0,0,2,725000
37,253,2020,4,35000.0,0,0,2,1170000
12,84,2017,7,28000.0,0,0,2,685000
23,80,2017,7,142000.0,0,0,2,345000
22,192,1994,30,0.0,1,1,0,275000
13,394,2014,10,62000.0,1,0,2,421000
31,197,2019,5,18000.0,1,0,2,325000
23,318,2015,9,72000.0,1,0,0,450000
13,394,2019,5,48000.0,1,0,2,525000
23,41,2017,7,65000.0,0,0,2,300000
36,187,2014,10,130000.0,1,0,0,1360000
3,262,2014,10,57000.0,0,0,0,1285000
23,83,2019,5,73000.0,0,1,2,695000
16,377,2014,10,78000.0,0,0,0,995000
4,11,2010,14,130000.0,0,1,2,280000
13,394,2012,12,74000.0,1,1,2,250000
30,16,2018,6,15000.0,0,1,2,8000000
23,41,2015,9,18000.0,0,1,2,350000
12,84,2013,11,85000.0,0,1,2,400000
23,80,2017,7,67000.0,0,1,2,450000
23,40,2023,1,9000.0,1,0,2,490000
22,298,2015,9,76000.0,1,1,0,850000
23,317,2019,5,7000.0,0,1,2,650000
23,167,2024,0,1600.0,1,0,2,1350000
13,117,2012,12,71000.0,0,1,2,445000
23,167,2024,0,1600.0,1,0,2,1350000
12,358,2017,7,50000.0,1,1,0,725000
23,317,2018,6,42175.0,0,0,2,429000
36,127,2012,12,115000.0,1,1,0,325000
3,263,2014,10,45000.0,0,1,0,1200000
12,191,2016,8,46000.0,0,1,2,450000
9,258,2012,12,160000.0,1,0,0,260000
23,83,2015,9,110000.0,1,1,0,530000
11,120,2021,3,23000.0,0,1,0,3150000
13,394,2012,12,79000.0,1,0,0,220000
13,100,2016,8,72000.0,0,0,0,685000
36,97,2016,8,61000.0,0,1,2,845000
18,302,2023,1,27000.0,0,0,0,1775000
36,187,2015,9,98525.0,1,1,0,695000
23,41,2011,13,59000.0,1,0,2,260000
37,46,2017,7,99000.0,1,0,0,649000
27,248,2017,7,68000.0,1,1,0,1195000
33,201,2022,2,10000.0,0,0,2,1361000
36,187,2006,18,190000.0,1,1,0,410000
13,122,2013,11,80000.0,1,1,2,195000
35,218,2013,11,100000.0,1,1,0,150000
23,361,2014,10,78000.0,1,1,2,175000
11,135,2013,11,46200.0,1,0,2,159000
23,319,2017,7,81000.0,0,0,0,650000
23,356,2018,6,30000.0,1,0,0,965000
23,318,2019,5,100000.0,1,1,0,750000
26,93,2012,12,28000.0,0,1,2,1990000
22,382,2018,6,88000.0,0,1,0,890000
13,352,2023,1,12700.0,1,0,2,1575000
25,65,2021,3,14000.0,0,0,0,5250000
13,352,2012,12,123500.0,1,1,2,285000
36,97,2011,13,99000.0,1,1,0,325000
12,44,2020,4,41000.0,1,1,2,575000
23,356,2019,5,47000.0,1,0,0,875000
13,352,2020,4,86000.0,0,0,0,899000
22,299,2024,0,33000.0,1,0,0,1850000
4,368,2021,3,74000.0,0,0,0,6650000
23,317,2018,6,45000.0,1,1,2,510000
35,176,2017,7,135000.0,1,1,0,775000
22,382,2012,12,168000.0,1,1,0,500000
22,382,2017,7,129124.0,1,0,0,1095000
23,319,2017,7,92000.0,0,0,0,645000
13,100,2020,4,42000.0,1,1,0,1225000
23,52,2019,5,53000.0,1,1,2,635000
3,26,2015,9,89000.0,0,0,0,890000
23,40,2018,6,108000.0,1,0,2,320000
37,253,2021,3,25000.0,0,0,2,1245000
3,24,2013,11,102000.0,0,1,0,1020000
23,317,2011,13,75000.0,0,1,2,350000
3,22,2016,8,99000.0,0,1,0,949000
31,197,2019,5,18000.0,1,0,2,324000
12,70,2010,14,70343.0,0,1,2,650000
22,298,2017,7,90000.0,0,1,0,1100000
23,319,2019,5,146000.0,1,1,0,690000
31,197,2018,6,37000.0,0,1,2,325000
12,358,2018,6,103000.0,1,0,0,780000
20,114,2022,2,17000.0,0,0,2,5600000
35,185,2014,10,80000.0,1,1,0,120000
13,349,2019,5,80000.0,1,1,0,825000
11,135,2012,12,104000.0,1,1,0,234000
11,115,2016,8,95000.0,1,0,0,750000
11,120,2020,4,83700.0,0,0,0,2951000
23,321,2014,10,106000.0,1,1,2,275000
3,22,2015,9,64000.0,0,1,0,850000
25,148,2014,10,77600.0,0,1,0,2799999
23,37,2011,13,78965.0,1,0,2,135000
35,332,2018,6,800000.0,1,1,2,485000
